aleft,aright,tayleft,tayright
0.0,1.0,1.0,1.0
0.01,0.99,1.0178889966068831,1.0171110033931168
0.02,0.98,1.0357779932137663,1.0342220067862335
0.03,0.97,1.0536669898206494,1.0513330101793505
0.04,0.96,1.0715559864275328,1.0684440135724673
0.05,0.95,1.089444983034416,1.085555016965584
0.06,0.9400000000000001,1.107333979641299,1.1026660203587009
0.07,0.93,1.1252229762481822,1.1197770237518176
0.08,0.92,1.1431119728550654,1.1368880271449346
0.09,0.91,1.1610009694619485,1.1539990305380514
0.1,0.9,1.178889966068832,1.1711100339311682
0.11,0.89,1.196778962675715,1.188221037324285
0.12,0.88,1.2146679592825982,1.2053320407174017
0.13,0.87,1.2325569558894813,1.2224430441105187
0.14,0.86,1.2504459524963645,1.2395540475036355
0.15,0.8500000000000001,1.2683349491032476,1.2566650508967523
0.16,0.8400000000000001,1.2862239457101308,1.273776054289869
0.17,0.8300000000000001,1.3041129423170141,1.290887057682986
0.18,0.8200000000000001,1.3220019389238973,1.3079980610761028
0.19,0.81,1.3398909355307804,1.3251090644692196
0.2,0.8,1.3577799321376636,1.3422200678623364
