alpha,fic,icangle,tempavg,tempbot,tempmid,temptop,time,torque,torquenorm
0,17.499278131634853,17.499322638985056,20.95310257964569,20.904864998801585,20.98031576174622,20.974126978387904,6309.427705590943,36.773469782473335,0.9979933785941165
0,17.50166066910316,17.501531057699246,21.00345461630439,20.95309027022859,21.020271619404184,21.03700195927774,6320.328765813884,36.84740858128387,1.0
5,17.499672296829534,17.499495246667852,21.04772188202556,21.022217373745754,21.042779769085907,21.078168503244736,6305.987755780151,38.38274307254356,1.0416673668617105
10,17.49944708882275,17.499411547114814,20.720394733790247,20.67386367385204,20.738793248706713,20.748527278811746,6309.273470746563,39.28772505025967,1.06622762801874
20,17.50052010050254,17.500457883551114,20.898243386666604,20.853904330230133,20.917728193131424,20.923097636636133,6313.950756560576,40.43465540277758,1.0973541141592194
30,17.501528208744723,17.50148808964339,20.95056743160282,20.899822800314908,20.948165649764913,21.003713844727812,6313.960627644574,41.040312956486936,1.1137910245697114
40,17.50171083827267,17.501635031520873,21.305987153193588,21.24319178842892,21.322391703343317,21.35237796780851,6314.422327123907,41.834600239795805,1.1353471478872224
50,17.502241398293425,17.502327698260917,21.157248005023852,21.052059333255794,21.197173723718066,21.22251095809652,6315.495767960358,43.316205499117984,1.1755563597793917
60,17.498486933555686,17.498553810276487,27.717267340857248,20.721783587309307,14.995312207014374,47.43470622824902,6312.25372393661,43.926763436516424,1.1921262614605797
65,17.49896552199699,17.49887142002886,27.694961655904414,20.60640604425279,14.995312207014376,47.4831667164463,6314.500205488902,44.022372355995095,1.1947209872000508
70,17.500664395230043,17.500549640350425,27.925488148679534,21.25386563432268,14.995312207014369,47.52728660470185,6314.578459682,29.35660120247731,0.7967073488415841
75,17.500046970539163,17.49999567660879,27.69937213289148,20.53382908338517,14.995312207014374,47.568975108274415,6312.652947470817,29.97862514538841,0.8135884258795782
80,17.499104777870937,17.498745187969504,27.815141538720965,20.742397865523706,14.995312207014372,47.70771454362566,6312.347027102541,30.331691044374075,0.8231702638589525
90,17.500652597402595,17.500512069443896,27.90891121938933,21.03494955377221,14.99531220701437,47.69647189738292,6326.64598673066,30.942785663364774,0.839754730515343
95,17.499169361583505,17.499320501520078,27.947611360435495,21.14017838508688,14.995312207014374,47.707343489205,6313.23308196264,30.842022744522396,0.837020130641919
100,17.501549353205828,17.501545197475213,27.738797504446687,20.48428512101575,14.99531220701437,47.73679518531013,6313.777996344212,30.8555529015968,0.8373873249059215
