index,alpha,torque,torquenorm
0,70,53.685011146292744,1.51542309533
1,10,37.25022361018828,1.0515011166
2,40,42.17518232466781,1.19052308978
3,0,35.425757540357196,1.0
4,95,51.36039950792599,1.44980384539
5,60,46.307199634349985,1.30716187457
6,50,44.44589681664954,1.25462092846
7,5,36.69709774316494,1.03588745283
8,20,38.43932321695441,1.08506707791
9,100,50.46022025495476,1.42439354183
10,80,52.99785187611531,1.49602593017
11,30,40.60570890592546,1.14621991808
12,90,51.863104379498154,1.46399422286
