bin,hist
-88.19999999999999,0.3016508987953464
-84.6,0.28451956201433853
-81.0,0.33704557123540035
-77.4,0.34186050796733464
-73.8,0.37594344911695987
-70.19999999999999,0.42670051301607337
-66.6,0.4277379158875903
-63.0,0.4358258744451617
-59.4,0.44818957249749586
-55.8,0.4667240833752364
-52.2,0.520754169099987
-48.599999999999994,0.5139054182278446
-44.999999999999986,0.5425900806053209
-41.39999999999999,0.5236866453021473
-37.8,0.4968213794500974
-34.2,0.4738124774638993
-30.599999999999994,0.43184338257061483
-26.999999999999986,0.38895355321385633
-23.39999999999999,0.35076829858142394
-19.799999999999997,0.32109983773612616
-16.200000000000003,0.3009824203492625
-12.599999999999994,0.282129436249567
-8.999999999999986,0.27907398523892885
-5.3999999999999915,0.2766428678713314
-1.7999999999999972,0.2873574422099776
1.7999999999999972,0.3861125198179999
5.400000000000006,0.2606750619705356
9.000000000000014,0.2519974549723148
12.600000000000009,0.24166757106018855
16.200000000000003,0.2305966850969788
19.799999999999997,0.22419568865570402
23.400000000000006,0.21647034812313098
27.000000000000014,0.21211262542271633
30.60000000000001,0.2073418334938253
34.2,0.20923375362425134
37.8,0.21099008614533019
41.400000000000006,0.2092778984272946
45.000000000000014,0.20725354388773873
48.60000000000001,0.2041161096714489
52.2,0.2116270325892403
55.8,0.23320438167674937
59.400000000000006,0.24755459586603093
63.000000000000014,0.25499614837904006
66.60000000000001,0.2628034721172649
70.2,0.2551853403920826
73.8,0.2501023816416713
77.39999999999999,0.24229505790344652
81.0,0.2606876747714051
84.60000000000002,0.30086575194121956
88.20000000000002,0.28751194902062904
